,p1_name,p2_name,wb_length,route,start_node,end_node,length,p1,p2,straight_line_dist,diff,abs_diff,rel_error,endpoint_1,endpoint_2,roughness
0,alto vera,karona,2.5115359,"[1721615670, 1721610192, 1721610237, 1721610089, 6550975819, 1721640763, 4961787353, 1721640796]",1721615670,1721640796,0.455322,POINT (-55.76828 -26.75291),POINT (-55.76427 -26.75526),0.4763380941648199,2.0562139000000004,2.0562139000000004,0.8187077477172435,alto vera,karona,5.0
1,alto vera,ynamb,10.67965,"[4961815462, 4961815461, 4961815460, 4961815459, 4961815458, 4961815457, 4961815456, 4961815455, 4961815454, 4961815453, 4961815452, 4961815451, 4961815450, 4961815449, 4961815448, 4961815447, 4961815446, 4961815445, 4961815444, 4961815443, 4961815442, 4961815441, 4961815440, 4961815439, 4961815438, 4961815437, 4961815436, 4961815435, 4961815434, 4961815433, 4961815432, 4961815431, 4961815430, 4961815429, 4961815428, 4961815464, 4961815427, 4961815426, 4961815425, 4961815424, 4961815466, 4961815423, 4961815422, 4961815470, 4961815421, 4961815420, 4961815419, 4961815418, 4961815417, 4961815416, 4961815415, 4961815414, 4961815413, 4961815412, 4961815411, 4961815410, 4961815409, 4961815408, 6556398463, 4961815407, 4961815406, 4961815405, 4961815404, 4961815403, 4961815402, 4961815401, 4961815400, 4961815399, 4961815398, 4961815397, 4961815396, 6556416796, 6556416797, 6556416798, 6556416799, 4961815355, 4961815354, 4961815353, 4961815352, 4961815351, 4961815350, 4961815349, 4961815348, 4961815347, 4961815346, 4961815345, 4961815344, 4961815343, 4961815342, 4961815341, 4961815340, 4961815339, 4961815338, 4961815337, 4961815336, 4961815335, 4961815334, 4961815333, 4961815332, 4961815331, 6566463723, 4961815330, 6566463726, 4961815329, 6566463747, 4973573237, 4961815328, 6566463694, 4961815327, 6566463698, 6566463697, 4961815326, 4961815325, 4961815324, 4961815323, 4961815322, 4961815321, 4961815220, 4961815219, 4961815218, 4961815217, 4961815216, 4961815215, 4961815214, 4961815213, 4961815212, 4961815211, 4961815210, 4961815209, 6601246939, 4961815208, 4961815207, 4961815206, 4961815205, 4961815204, 6601246941, 4961815203, 4961815202, 4961815201, 4961815200, 4961815199, 4961815198, 4961815197, 4961815196, 4961815195, 4961815194, 4961815193, 4961815192, 6566287579, 4961815191, 4961815190, 4961815189, 4961815188, 4970121865, 4961815187, 4961815186, 4962604337, 4962604338, 4962604339, 4962604340, 4962604341, 4962604342, 4962604343]",4961815462,4962604343,13.762350999999997,POINT (-55.74206 -26.5883),POINT (-55.69932 -26.69366),12.425140879380924,-3.0827009999999966,3.0827009999999966,0.2886518752955384,alto vera,ynamb,5.0
2,altos,atyr,9.3805113,"[4128334193, 4128334192, 4128334235, 4128334190, 4128334189, 4128333788, 4128333787, 4128333786, 4577993359, 4128333785, 4128333784, 4128347337, 4128333783, 4128333782, 4128333781, 4128333780, 4128333779, 1762177505, 1762177396, 1762177576, 1762177399, 1762177546, 1762177590, 1762177364, 1762177403, 1762177408, 1762177451, 1762177556, 1762177473, 1762177508, 1762177378, 1762177387, 1762177470, 1762177552, 1762177577, 1762177595, 1762177431, 1762177417, 1762177415, 1762177555, 1762177402, 1762177580, 1762177406, 1762177386, 1762177490, 1762177459, 1762177352, 1762177340, 1762177559, 1762177570, 1762177435, 1762177345, 1762177355, 1762177493, 1762177432, 1762177377, 1762177589, 1762177426, 1762177591, 1762177422, 4578432861, 1762085033, 1762177578, 4578432860, 1762177374, 1762177379, 1762177366, 1762177583, 1762177561, 1762177575, 1762334146, 1762334160, 4578432862, 1762334018, 1762333956]",4128334193,1762333956,8.816330999999998,POINT (-57.1619 -25.1935),POINT (-57.15459 -25.25993),7.395640165840571,0.5641803000000021,0.5641803000000021,0.06014387509985752,altos,atyr,5.0
3,aregua,isla vall,4.3732381,"[859230941, 1763035669, 2721971075, 1763032569, 1763032570, 327237064, 2721971057, 1763048071, 1763094074, 859230328, 859230338, 859230341, 859230352, 859230355, 1763128593, 859230358, 1763032571, 6987054785, 859230362, 1763134293, 859230365, 1763135886, 1763135891, 859230369, 859230374, 2839903869, 859230375, 859230376, 859230377, 859230379, 2839906811, 2839903883, 2839906862, 859230383, 859230384, 2839906839, 859230389, 2839906827, 2839903897, 859230395, 2839923796, 859230398, 859230404, 2839903879, 859230411, 859230415, 859230421, 859230426, 2839903889, 2839928325]",859230941,2839928325,3.8517130000000006,POINT (-57.38472 -25.3125),POINT (-57.37135 -25.2663),5.292079145741273,0.5215250999999994,0.5215250999999994,0.11925376301829974,aregua,isla vall,3.0
4,aregua,patin,6.5556202,"[859230941, 1763095825, 1763037999, 859230920, 1763042608, 859231284, 1763101573, 842190213, 842190211, 1763048073, 842190210, 859231464, 842190206, 842190205, 1763098623, 1763098625, 1763101275, 1763098624, 1763098630, 1763098629, 1763098626, 1763098628, 1763098627, 842190174, 6993038835, 842190166, 842190162, 859230272, 1763286002, 859230269, 859230268, 1763285928, 6992792944, 1763285931, 859230265, 859230262, 3778328083, 859230260, 3778328092, 859230256, 859230252, 859230248, 859230244, 859230239, 859230233, 3778328107, 859230226, 859230221, 3778328120, 859230215, 1763421521, 3778330169, 1763421627, 1763421524, 6992792950, 1763421559, 3778330223, 1763421551, 3778330241, 1763421544, 3778330269, 1763421586, 1763421575, 3778330288, 3778330292, 1763421573, 1763421541, 1763421576, 3778330308, 1763421562, 1763421566, 1763421587, 1763421539, 1763421585, 1763421533, 1763421572, 5930543196, 1763421550, 1763421505, 3778330338, 1763421514, 1763421563, 1763421624, 3778330342, 1763421603, 5711739299, 1763421546, 3778330388, 1763421523, 1763421584, 1763421506, 1763421565, 1763421553, 1763421577, 1763421601, 1763421578, 1763432923, 1763421535, 1763421598, 5618506625, 1763421590, 5618506623, 1763421545, 1763421574]",859230941,1763421574,6.422825,POINT (-57.38472 -25.3125),POINT (-57.35569 -25.35043),5.1183155135451885,0.13279520000000034,0.13279520000000034,0.020256695163639947,aregua,patin,3.0
5,arroyo san jose,bella vista nort,30.643101,"[4530732411, 4530732410, 4530732409, 4530732408, 4530732407, 4530732416, 4530732406, 4530732405, 4530732404, 4530732453, 4530732452, 4530732451, 4530732450, 4530732449, 4530732448, 4530732447, 4530732446, 4530732445, 4530732444, 4530732443, 4530732442, 4530732441, 4530732440, 4530732439, 4530732438, 4530732437, 4530717713, 4530717696, 4525355847, 4525355846, 5316661958, 5316661952, 4525355845, 5316661941, 4525355844, 4525355843, 4530690794, 5316654531, 5316654530, 4525355842, 4525355841, 2184629987, 2184629983, 2184629981, 2184629977, 2184629975, 2184629939, 2184629935, 2184629934, 2184629932, 2184629925, 6506389391, 2184629928, 2184629927, 2184629924, 2184629918]",4530732411,2184629918,31.254942000000018,POINT (-56.31347 -24.46287),POINT (-56.16334 -24.32277),21.742573580166365,-0.6118410000000161,0.6118410000000161,0.01996668026516037,arroyo san jose,bella vista nort,4.0
6,asuncion,san lorenzo,16.679355400000002,"[4557779748, 4557779747, 7010045753, 8242661984, 1764266663, 8242661985, 5667810751, 1764266680, 2781884788, 7010045749, 8253781668, 327307691, 4557787227, 5676058097, 1764266673, 7010045745, 2648199681, 7010045741, 7395948615, 7439946484, 1440369163, 7010045737, 6857720194, 1764266635, 5667810724, 2648199814, 1764265551, 6169010928, 327306857, 249921682, 1777962748, 8027011854, 7170730607, 6169010940, 1777965655, 2648199595, 7804223411, 6857720195, 2824689864, 8027011850, 327306609, 2824690017, 249921681, 8027011846, 6564917578, 4557921544, 8027011842, 2824690002, 249921680, 2824694683, 2824694656, 249921679, 2813338629, 2792499087, 8027011838, 2813338658, 2813338651, 8027011834, 2679038795, 6272106759, 8027011830, 8573560649, 2679038796, 5664463216, 2679038797, 6537952719, 331516346, 7495571982, 5664463210, 5664470028, 5664463211, 5664463212, 3222632886, 6773629876, 6365346563, 5664470037, 2679038787, 8573403738, 331516367, 6773600287, 5664463209, 6773562089, 6773562099, 8573403734, 8573403741, 6773562122, 6773562131, 6773562136, 7010045712, 2825947314, 7223430788, 7010045713, 2825947329, 2825946591, 4370159952, 7851829164, 2825947316, 4553113426, 2825946584, 5667949061, 331516342, 2825947321, 2825946589, 2825947332, 331516339, 4553070914, 331516337, 1848863211, 331516335, 2825947318, 331516333, 7223430785, 7223430786, 2825947337, 1893128362, 2825947324, 4559255863, 2825947328, 7098308335, 331516322, 331516320, 7880360346, 2825947311, 5667871982, 1893128367, 331516318, 331516316, 5976180273, 2825947319, 4553106246, 7880360463, 7880360491, 1848792684, 5973061687, 7880251639, 5973061686, 4559206293, 331516291, 7880251646, 2816257722, 2816257745, 331516330, 7880345106, 5228532406, 2816285833, 2816285828, 559707265, 4528537040, 5228418237, 5664783705, 5664783704, 4528537032, 559707237, 331516303, 5228532368, 6164573378, 6164573383, 559707216, 4553100361, 1781739163, 4553052131, 2792718665, 559707205, 4553100358, 2721971016, 2792725755, 2302078545, 2699948322, 559707191, 2792938105, 3222738627, 3222738626, 3222738625, 3222738624, 5973061702, 3222738623, 6164469750, 3222738622, 7965362026, 7965362025, 7651005257, 7651005255, 7651005256, 1783034590, 559707169, 559707153, 2811632827, 2811632828, 20928086, 1783034439, 1783034611, 1783034392, 1783034399, 20928087, 1887734027, 1945545704, 2444388671, 1783004862, 20929927, 8058387544, 8058387545, 59712810, 8058387540, 8058387539, 6521961407, 330721565, 5638100580, 1945527105, 330721563, 330721566, 8058387557, 1945527107, 1782777287, 8309072171, 2792787153, 330721567, 2792787151, 1945545731, 1782774051, 1945545751, 1782774063, 1945545768, 1782759596, 973649716, 1782774146, 1945527248, 1945527281, 1945527336, 1764091587, 2405370242, 2047620684, 1439466016, 1439466020, 1439466059, 2813686173, 1782812264, 3630174054, 1314245384, 1437446566, 8260888326, 1782812215, 330721569, 8260980028, 1782814438, 8260980027, 5664602814, 616084327, 5664602812, 8260980182, 5664602811, 330721570, 330721571, 1764120763, 5664603323, 59712817, 8073204655, 8073204656, 4616495949, 4616495950, 59712818, 2289276475, 1437431207, 1437431219, 1437431226, 59712819, 4589588100, 20928101, 618491563, 4617028674, 618491552, 1437431244, 1437431245, 7741168847, 2669622270, 618491532, 1437431250, 1437431252]",4557779748,1437431252,16.969449,POINT (-57.52941 -25.22449),POINT (-57.51094 -25.35072),14.106589929746768,-0.29009359999999873,0.29009359999999873,0.0173923747676723,asuncion,san lorenzo,5.0
7,bella vista,tomas romero pereira,73.85605,"[5934299394, 5581157127, 2204891886, 2245284265, 5934299389, 2245284291, 5934299390, 2245284165, 2245284325, 20938222, 5934299392, 6073480680, 6073480684, 393560330, 6073481721, 6073481713, 2873756475, 6073481702, 4393374237, 393560334, 393560338, 393559465, 2873756476, 393559511, 393559512, 20938223, 393559454, 2873756479, 393559500, 393559456, 2873756473, 393559457, 393559458, 20938224, 1463877566, 393559433, 3430150981, 393559459, 6784130749, 6784130753, 393559114, 393559115, 393559116, 20938225, 6784130759, 393559117, 393559100, 393559101, 20938226, 6784132588, 393559102, 393559103, 6784132612, 393559104, 393559105, 6784132610, 20938227, 393559060, 393559061, 2885527109, 20938237, 393559062, 2885527099, 6784132618, 393559063, 2873760039, 6784132740, 2885528358, 1463877565, 6784132854, 6784132822, 6784143856, 6784148253, 6784148249, 1463877564, 6784148199, 6784148192, 1463877563, 5673192735, 1463877549, 1719337048, 1719336980, 6784148238, 393559064, 393559065, 1719336915, 2688536234, 20938228, 393559066, 393559067, 1719336852, 1719336920, 20938229, 393559068, 1719337095, 393559069, 1719336819, 393559070, 1719340250, 1719336754, 1463877547, 1719337056, 393558995, 393558996, 1719337176, 393558997, 20938230, 1719337180, 393558998, 393558999, 393559000, 1463877545, 4386022735, 393558972, 5673182279, 393559001, 5673182280, 20938231, 5673182281, 393559002, 5673182282, 1463877544, 4970489995, 393558973, 1463877543, 4446887579, 4446887580, 380046997, 1463877542, 1463877541, 380046983, 380046984, 1463877540, 20938232, 380046992, 380046985, 1463877530, 4387576416, 5796881306, 5796881305, 380046986, 380046987, 5796881304, 380046988, 20938233, 380046989, 380046990, 380046991, 1463877527, 4970489990, 1463877526, 1463877524, 1463877523, 1463877522, 369632914, 1463877520, 369632915, 1463877513, 20938234, 369632941, 1463877512, 369632942, 369632916, 1463877510, 20938238, 5673174556, 369632917, 5673174555, 369632918, 5673174554, 1463877509, 369632919, 2873129653, 2873129700, 370331840, 2873129686, 2873171993, 2873167315, 2873167397, 2873159119, 2873159158, 1463877508, 1463877507, 1463877506, 1463877505, 369632897, 5739343918, 4973518561, 1463877501, 369632898, 369632899, 369632900, 20938239, 1463877499, 369632901, 1463877497, 369632890, 369632891, 369632892, 20938240, 369632893, 369632895, 369632894, 1463877495, 5796881303, 1463877494, 1463877492, 2686617188, 359528560, 860694610, 2686617149, 359528561, 2686617166, 2686617227, 1463877490, 2686617225, 20938241, 5796881302, 2686721426, 1463877489, 2686721403, 2686721470, 1463877488, 1463877487, 2687046031, 2687045996, 2687046025, 5718802630, 369632779, 369632780, 2686698276, 369632781, 2686721423, 20938242, 2686721409, 369632782, 369632783, 2686698324, 2687046022, 1463877486, 5811322628, 5796881301, 5811322625, 2687069076, 1463877485, 2687069135, 5811322617, 2687069057, 1463877482, 369632873, 2687068956, 369632874, 20938243, 2687069066, 2684923740, 5796881300, 369632875, 369632876, 2687069086, 2687068945, 2687069064, 5808218199, 369632877, 1463877481, 369632878, 5796881299, 5808218183, 5808218188, 5796881298, 5808218180, 2684921103, 5808218211, 369632879, 2684921105, 369632880, 5811228831, 2684921113, 2684921108, 6371039670, 369632881, 2684921110, 20938244, 2684921102, 369632882, 5064663097, 2684921101, 5808218221, 369632883, 369632884, 5808218226, 5808218238, 5808218239, 2684921111, 5064663058, 2684921104, 2684921116, 5796881297, 6184889122, 5811228844, 5811228847, 5796881296, 1463877480, 2872866935, 2684921109, 5064662870, 5811228848, 1463877479, 5064662481, 2872866928, 1463877478, 360093525, 2684921114, 360093526, 2684921107, 20938245, 2684921112, 360093528, 360093529, 5825361779, 2684921115, 2684921106, 5825361792, 361225666, 2684695042, 369632589, 2684694863, 361227039, 5796881291, 2684695036, 359529959, 2684670787, 359269617, 359529961, 5796881290, 1463877476, 2684670734, 359529962, 2684670731, 1463877475, 20938246, 2684670559, 2684670723, 359530108, 2684672540, 2684670660, 2684670448, 359530107, 2684670597, 1463877474, 2684670544, 359530106, 2684670557, 2684670762, 1463877473, 359530105, 369632548, 2684670659, 5796881288, 2684670638, 1463877472, 2684670464, 5263756656, 2684670750, 5263756655, 847428154, 847428176, 2684670608, 1463877471, 2684670573, 2684670493, 847428173, 847428163, 2684670708, 5261067225, 359360043, 2684670776, 359530670, 359530669, 2684670553, 2683943280, 2684670614, 20938247, 2684670742, 2683943279, 359530668, 2684670754, 2684670432, 359530667, 370944059, 359530666, 847428158, 370944111, 5796881287, 2872854724, 847428164, 2704185496, 6812291138, 2704185384, 2704185325, 2704185495, 386177175, 2683930409, 359530921, 359530920, 2683930398, 359530919, 2683930389, 359530918, 20938248, 359530917, 359530916, 361227463, 359530915, 359530914, 359531336, 5261067230, 5261067235, 1463877470, 2872847300, 2683939504, 2872846634, 6812874080, 2683939501, 2683939511, 2683939489, 2683939466, 2683939494, 2683939493, 2683939479, 2683939472, 2683939525, 2683939508, 2683939510, 2683939460, 364839143, 6820971440, 6820971441, 6820971442, 6820971443, 6820971439, 6808119543, 6808119542, 6808119548, 5454795964, 360485205, 360484643, 6808119551, 6808119541, 6808119537, 6808119538]",5934299394,6808119538,73.3005,POINT (-55.5765 -27.0351),POINT (-55.26046 -26.53115),64.07486245204677,0.5555499999999967,0.5555499999999967,0.007522064881617643,bella vista,tomas romero pereira,2.0
8,benjamin aceval,monte lindo,163.759499,"[2088623212, 2088672657, 5625644545, 2774840540, 2088672745, 1455786710, 2774840506, 2088672739, 6280208049, 1455786697, 2088672802, 6280208054, 2088672821, 6280208057, 5625644546, 6280208059, 2088672720, 2088672754, 2088672690, 7752809583, 2774827397, 4943741385, 4952579562, 8149204828, 5467805298, 2774710433, 2774710434, 6270262722, 6270262723, 2774710431, 2774710438, 2774707535, 6270262741, 2774700037, 313902304, 2774707493, 2774697041, 2774697055, 2774697050, 2774697080, 2774718959, 2774697061, 1455786694, 2774697070, 2774697078, 2774697089, 2774718942, 2774697077, 1455786686, 2774700040, 2774700053, 6270262728, 6270262727, 2774697083, 2774700044, 2774697075, 2088673658, 6270262726, 6270262725, 2774697038, 6270263339, 2774697071, 6268063564, 6270262724, 6268063565, 2774697042, 2774697085, 6270263360, 8156530097, 2774779266, 6268063582, 2774779355, 8151472115, 8151518318, 8151472114, 2774779328, 2774779359, 5467812173, 5754799892, 5754799891, 5754799890, 1455786682, 5754799889, 5754799888, 5754799887, 313902303, 5754799886, 5754799885, 1455786681, 1455786679, 2772123768, 2772123785, 2772123753, 1455786677, 1455786670, 2772121563, 313902302, 2772121560, 1455786669, 2772121552, 2772121572, 1455786668, 2772121554, 2772121550, 2772121549, 313902301, 2772121566, 2772121567, 1455786667, 1455786666, 2772110533, 2772110458, 313902300, 2772110417, 1455786664, 5754799884, 2772101889, 1455786662, 1455786659, 2772097004, 2772097017, 313902299, 2772097037, 1455786655, 2772097051, 2772097014, 1455786654, 2771964924, 2771964926, 1455786651, 2771964904, 313902297, 2771964938, 2771964940, 2767310534, 1455786649, 2770171013, 1455786647, 2770164888, 2770171002, 2770171046, 1455786645, 2770171028, 2770171030, 2770171004, 313902295, 2770055788, 2770055751, 2770055744, 2770055747, 2770055750, 2770055757, 313902294, 2770055756, 2770055717, 2770055745, 2770055725, 313902293, 2770055767, 2770055795, 2770055782, 1455786642, 2770055729, 2770055727, 2770055702, 2770055763, 2770055773, 313902292, 2770055774, 2770055794, 2770055772, 2770055689, 2770055715, 2770055771, 313902291, 2770024524, 2770023342, 5467871150, 2770019611, 2770019603, 2770019607, 2770019596, 2770019584, 313902290, 2770019590, 2770019589, 2770019585, 313902289, 313902288, 2770017082, 2770017081, 2770017079, 2770017080, 1455801750, 2769781235, 2769781245, 2769781247, 2769781237, 313902287, 2769781244, 2769781234, 2769781233, 2769781238, 2769781239, 1455801748, 2769781243, 5656343466, 313902286, 5467871182, 5467871184, 2769779989, 5467871176, 2769779983, 1455801746, 2769779997, 2769779999, 2769779990, 2769779995, 1455801744, 2769779985, 2769779987, 2769779988, 2769702702, 2769702696, 313902285, 2769702694, 2769702695, 1455801742, 2769702697, 2769702700, 1455801740, 2769702041, 2769702042, 313902284, 4944637066, 5467967878, 2769699515, 1455801739, 5467967886, 5467967879, 2769699516, 2769699517, 2769699513, 2769699512, 313902283, 1455801738, 2769699511, 2769691991, 2769692073, 4944637099, 1455801737, 2769692026, 2769692107, 2769692036, 313902281, 2769692113, 2769692115, 2769692162, 2769692079, 313902280, 2769685910, 2769692014, 5467969468, 5467969377, 313902279, 5754819211, 3870398207, 1455801730, 1455801728, 5467887220, 313902278, 5754819209, 5754819210, 5754819208, 3870398206, 5754819207, 313902277, 5754819206, 5754819205, 5467978021, 5467978048, 313902276, 5754819204, 3870398205, 1455801726, 5754819203, 5467978065, 5468012368, 1455801723, 5754819202, 3870398204, 5754819201, 5468012381, 313902275, 5468012397, 313902274, 5468012647, 5468012648, 1455801721, 5468012653, 5468012685, 5468012714, 5468012699, 313902273, 5468012746, 5754819200, 5754819197, 5754819198, 5754819199, 1455801719, 3870398203, 5754819196, 5754819195, 3870398202, 5754819194, 313902272, 5754819193, 5754819192, 313902271, 5754819191, 5754819190, 1455801718, 5754819189, 5754819188, 313902270, 4944640623, 1455801717, 5754819186, 5754819187, 5754819185, 313902269, 5754819181, 5754819182, 5754819183, 5754819184, 4944640635, 5754819180, 4944640454, 4428725016, 4944640487, 2769671001, 4428731686, 5654405036, 2769668412, 2769419238, 2769668414, 2769419244, 313902268, 2769419311, 2769668421, 2769419270, 1455801716, 2769668403, 2769419241, 1455801714, 2769419321, 4944640642, 1455801713, 2769381837, 2769661644, 2769381836, 1455801711, 2769381824, 2769381816, 2769661660, 2769381825, 2769381833, 2769381826, 2769381817, 2769381827, 5654292151, 5654292173, 1455801709, 2769411466, 313902267, 2769661650, 2769661640, 5654292138, 1455801707, 2769661655, 2769409885, 2769409877, 313902266, 2769661658, 2769409868, 2769661647, 2769409940, 2769661641, 2769661653, 4944640643, 313902265, 2769647527, 2769647514, 2769647518, 2769647480, 313902264, 2769647499, 2769647530, 2769647473, 2769647485, 2769647507, 1455801704, 2769629602, 2769629539, 313902263, 2769629571, 2769629636, 2769629590, 2769629594, 2769629543, 2769629554, 2769629547, 1455801702, 2769629622, 1455801700, 2769577597, 2769616230, 2769577602, 2769577609, 1455801698, 2769577639, 2769577625, 2769577569, 313902261, 2769577593, 2769577603, 1455801695, 3870398200, 3870398201, 4944640672, 5474082174, 1455801693, 313902260, 2769346717, 5474082153, 4944640700, 4540580390, 4944640713, 2769336838, 313902259, 2769336726, 2769336692, 2769336703, 2769336823, 5474077611, 2769336708, 2769336739, 2769336763, 2769336766, 2769336837, 1455801691, 2769336840, 2769336719, 2769336684, 2769336765, 2769336679, 2769336824, 2769336717, 2769336796, 2769336805, 2769336695, 313902258, 2769336728, 5474077534, 5474077527, 5474068919, 2769285739, 2767728226, 2767728374, 2769269119, 313902257, 2767728368, 2767728439, 2767728314, 2769269117, 2767728470, 2769269123, 2767728376, 2767728418, 2769269116, 1455801689, 2767728322, 313902256, 2767728466, 1455801687, 2767728352, 2767728462, 2767728275, 2767728442, 313902255, 2767728284, 2767728414, 2767728391, 5474068709, 5474068720, 5474068516, 5474068426, 5474068317, 1455801686, 5474068280, 1455801685, 313902254, 5474068266, 5474068236, 313902253, 3870398199, 3870398198, 1455801684, 5474068170, 5474068168, 313902252, 3870398197, 3870398196, 1455801683, 3870398195, 313902251, 5474067107, 313902250, 3870398194, 5474068147, 1455801674, 313902249, 4955517932, 4955535043, 4955535053, 313902248, 5462687487, 5462687488, 1455801672, 1463816885, 5462687459, 5462687495, 5462687500, 2766757600, 313902247, 2766757601, 2766757558, 2766757566, 1455801668, 2766757577, 2766757584, 2766757561, 2766757638, 313902246, 2766757573, 2766751686, 1455801666, 2766750530, 2766750529, 2766750527, 2766750525, 5474003956, 1455801664, 2766750533, 2766750532, 5625602907, 5474003941, 1455801663, 2766747621, 2766747381, 2766747623, 313901396, 5625602908, 2766747403, 5625602909, 2766747616, 1455807260, 2766747384, 2766747360, 5625602910, 5625602911, 2766747510, 2766747608, 313901395, 2766747362, 2766747590, 2766747383, 1455801661, 2766747397, 1455807250, 2766747412, 2766747577, 2766747409, 313901394, 5625602912, 2766747399, 5625602913, 2766747618, 2766747594, 2766747598, 313901393, 4919740654, 2766747527, 4919740659, 2766747469, 2766747561, 2766747610, 1455801660, 2766747582, 2766747496, 313901392, 2766747521, 2766747603, 313901391, 2766747552, 2766747432, 1455801658, 2766747579, 2766747495, 313901390, 1455801657, 5474003279, 313901389, 2766666147, 2766659262, 2766657218, 2766657222, 2766657210, 2766657207, 2766657215, 1455801656, 1487787398, 5473928548, 2766655647, 2766655646, 5820161713, 2766655633, 1455801655, 2766654176, 2766654177, 2766654183, 2766654180, 2766654182, 2766654179, 313901388, 2766654178, 2766639243, 1455801653, 5473928208, 5473927502, 2766416603, 5642593121, 313901387, 2766416546, 5642593120, 2766416692, 2766416585, 2766416637, 2766416729, 313901386, 2766416552, 2766416610, 2766416427, 2766416525, 313901385, 2766416593, 2766416578, 5642594192, 313901383, 2766416713, 2766416597, 2766416456, 2766416676, 2766416535, 313901382, 5642594191, 2766416567, 2766416629, 5625587507, 313901381, 5625587509, 5625587508, 2766395739, 313901380, 2766395776, 2766395924, 2766395655, 2766395819, 5625467855, 2766395717, 2766395646, 313901379, 2766395662, 2766395637, 2766395787, 2766395638, 2766395745]",2088623212,2766395745,170.9470630000001,POINT (-57.55239 -24.9974),POINT (-58.46667 -23.86667),155.82715329352115,-7.187564000000094,7.187564000000094,0.04389097453211001,benjamin aceval,monte lindo,4.56500005
9,caacupe,azcurr,5.5030961,"[1464844271, 1761926700, 5334325396, 1317738170, 5334325395, 2022624092, 3516045199, 3516070028, 1317738168, 7802211940, 1317753503, 7802211941, 1317753507, 7802211939, 1317753508, 1761890412, 1307725059, 1307725038, 1307725063, 1306235250, 1307725039, 1761885894, 1761886047, 1761885957, 1761886021, 1761885980, 1761885855, 2844339373, 1761885967, 1761885927, 1761885872, 1761916153, 1761885901, 1761885877, 1761885847, 1761885876, 2844332068, 1761885865, 1761886045, 1761886042, 1761885987, 1761885834, 1761886024, 1761886046, 1761885887, 2845584357, 1761885844, 1761885929, 1761885868, 2845584308, 1761886020, 1761990695, 2845584400, 2845584388, 2845584344, 2845584397, 1761885879, 1761886029, 1761886038, 1761885898, 2845557180, 1761885903, 1761885888, 1761885854, 2845557168, 7167860876, 2845557175, 1761885863, 1761886033, 1761885932, 2845557174, 1761885885, 1761885843, 1761886036, 1761885920, 2845557150, 1761885851, 1761885870, 1761885985, 1761885874, 1761885837, 1761886031, 1761885960, 1761885937, 1761885941, 1761916112, 1761885866, 1761885884, 1761885853, 1761885973, 1761885978, 1761885938]",1464844271,1761885938,5.006575000000001,POINT (-57.14217 -25.38575),POINT (-57.16937 -25.41485),4.228773663788886,0.49652109999999894,0.49652109999999894,0.09022577308798932,caacupe,azcurr,5.0
